date,Overseas,UK,UK average,Overseas average,ratio,ratio average
2021-02-17,32,179,222.0,31.857142857142858,5.59375,6.526229954530852
2021-02-18,39,145,193.85714285714286,32.285714285714285,3.717948717948718,6.30327513157603
2021-02-19,20,162,170.71428571428572,29.857142857142858,8.1,6.377878306179205
2021-02-20,29,139,156.57142857142858,29.571428571428573,4.793103448275862,6.256914978319325
2021-02-21,19,95,144.0,28.142857142857142,5.0,6.243090093526699
2021-02-22,25,102,138.57142857142858,27.285714285714285,4.08,6.046071459986326
2021-02-23,18,110,133.14285714285714,26.0,6.111111111111111,6.10997052388539
2021-02-24,18,140,127.57142857142857,24.0,7.777777777777778,6.258912322827188
2021-02-25,35,150,128.28571428571428,23.428571428571427,4.285714285714286,6.237768730255024
2021-02-26,50,462,171.14285714285714,27.714285714285715,9.24,6.288158340644635
2021-02-27,20,199,179.71428571428572,26.428571428571427,9.95,6.4507433746582405
2021-02-28,19,140,186.14285714285714,26.428571428571427,7.368421052631579,6.507969773989903
2021-03-01,24,173,196.28571428571428,26.285714285714285,7.208333333333333,6.5461091037958985
2021-03-02,17,232,213.71428571428572,26.142857142857142,13.647058823529411,6.8676482457684775
2021-03-03,37,345,243.0,28.857142857142858,9.324324324324325,7.068555920360363
2021-03-04,32,187,248.28571428571428,28.428571428571427,5.84375,6.89444877750322
2021-03-05,18,130,200.85714285714286,23.857142857142858,7.222222222222222,6.821375704430148
2021-03-06,25,182,198.42857142857142,24.571428571428573,7.28,6.8024509732473515
2021-03-07,24,118,195.28571428571428,25.285714285714285,4.916666666666667,6.736085346536896
2021-03-08,40,189,197.57142857142858,27.571428571428573,4.725,6.746031583096037
2021-03-09,47,171,188.85714285714286,31.857142857142858,3.6382978723404253,6.6582609350417
2021-03-10,32,176,164.71428571428572,31.142857142857142,5.5,6.653796649327415
2021-03-11,112,383,192.71428571428572,42.57142857142857,3.419642857142857,6.63959160833666
2021-03-12,48,471,241.42857142857142,46.857142857142854,9.8125,6.72113922738428
2021-03-13,65,263,253.0,52.57142857142857,4.046153846153846,6.685570198711802
2021-03-14,60,235,269.7142857142857,57.714285714285715,3.9166666666666665,6.633982897124501
2021-03-15,34,176,267.85714285714283,56.857142857142854,5.176470588235294,6.686195782278562
2021-03-16,33,170,267.7142857142857,54.857142857142854,5.151515151515151,6.640500736583515
2021-03-17,35,253,278.7142857142857,55.285714285714285,7.228571428571429,6.6143480532879755
2021-03-18,44,272,262.85714285714283,45.57142857142857,6.181818181818182,6.704638715007209
