,Date,Evening Blend,Lunchtime
751,09/08/2023,141995,122442
752,10/08/2023,142047,122367
753,11/08/2023,142116,122299
754,12/08/2023,142212,122284
755,13/08/2023,142334,122278
756,14/08/2023,142436,122213
757,15/08/2023,142401,122169
758,16/08/2023,142416,122110
759,17/08/2023,142483,122045
760,18/08/2023,142463,121977
761,19/08/2023,142531,121970
762,20/08/2023,142613,121961
763,21/08/2023,142702,121886
764,22/08/2023,142657,121822
765,23/08/2023,142687,121774
766,24/08/2023,142744,121733
767,25/08/2023,142701,121697
768,26/08/2023,142740,121706
769,27/08/2023,142813,121712
770,28/08/2023,142829,121713
771,29/08/2023,142904,121659
772,30/08/2023,142875,121606
773,31/08/2023,142901,121552
774,01/09/2023,142926,121498
775,02/09/2023,143009,121487
776,03/09/2023,143135,121495
777,04/09/2023,143150,121429
778,05/09/2023,143181,121404
779,06/09/2023,143242,121368
780,07/09/2023,143266,121318
781,08/09/2023,143312,121275
782,09/09/2023,143341,121261
783,10/09/2023,143447,121263
784,11/09/2023,143535,121204
785,12/09/2023,143535,121163
786,13/09/2023,143550,121122
787,14/09/2023,143596,121084
788,15/09/2023,143581,121039
789,16/09/2023,143605,121026
790,17/09/2023,143668,121023
791,18/09/2023,143762,120975
792,19/09/2023,143804,120934
793,20/09/2023,143896,120887
794,21/09/2023,143884,120842
795,22/09/2023,143973,120800
796,23/09/2023,144119,120798
797,24/09/2023,144250,120804
798,25/09/2023,144308,120745
799,26/09/2023,144361,120697
800,27/09/2023,144444,120666
801,28/09/2023,144723,120628
802,29/09/2023,145270,120610
803,30/09/2023,145521,120611
804,01/10/2023,145939,120613
805,02/10/2023,146723,120565
806,03/10/2023,147174,120512
807,04/10/2023,147614,120464
808,05/10/2023,148202,120424
809,06/10/2023,148646,120370
810,07/10/2023,148854,120372
811,08/10/2023,149217,120381
812,09/10/2023,149675,120332
813,10/10/2023,149984,120303
814,11/10/2023,150232,120247
815,12/10/2023,150791,120202
816,13/10/2023,151161,120171
817,14/10/2023,151651,120173
818,15/10/2023,152217,120181
819,16/10/2023,152726,120138
820,17/10/2023,152854,120094
821,18/10/2023,153113,120059
822,19/10/2023,153534,120014
823,20/10/2023,153883,119975
824,21/10/2023,154252,119952
825,22/10/2023,154819,119955
826,23/10/2023,154944,119909
827,24/10/2023,155292,119857
828,25/10/2023,155445,119842
829,26/10/2023,156582,119798
830,27/10/2023,156386,119765
831,28/10/2023,156814,119754
832,29/10/2023,157564,119750
833,30/10/2023,157947,119704
834,31/10/2023,157539,119663
835,01/11/2023,157658,119620
836,02/11/2023,157747,119558
837,03/11/2023,157750,119531
838,04/11/2023,157963,119523
839,05/11/2023,158272,119515
840,06/11/2023,158617,119472
841,07/11/2023,158641,119443
842,08/11/2023,158857,119407
843,09/11/2023,159047,119354
844,10/11/2023,159112,119318
845,11/11/2023,159116,119305
846,12/11/2023,159234,119291
847,13/11/2023,159406,119231
848,14/11/2023,159398,119190
849,15/11/2023,159462,119145
850,16/11/2023,159590,119092
851,17/11/2023,159642,119044
852,18/11/2023,159679,119033
853,19/11/2023,159827,119023
854,20/11/2023,160185,118978
855,21/11/2023,160299,118942
856,22/11/2023,160357,118889
857,23/11/2023,160551,118838
858,24/11/2023,160626,118789
859,25/11/2023,160707,118769
860,26/11/2023,160928,118759
861,27/11/2023,161164,118699
862,28/11/2023,161084,118645
863,29/11/2023,161278,118588
864,30/11/2023,161400,118542
865,01/12/2023,161396,118511
866,02/12/2023,161775,118491
867,03/12/2023,164616,118483
868,04/12/2023,167356,118448
869,05/12/2023,168043,118407
870,06/12/2023,168066,118358
871,07/12/2023,168189,118305
872,08/12/2023,168718,118266
873,09/12/2023,168685,118253
874,10/12/2023,169034,118246
875,11/12/2023,169205,118209
876,12/12/2023,168936,118166
877,13/12/2023,168939,118126
878,14/12/2023,168872,118077
879,15/12/2023,168884,118052
880,16/12/2023,168928,118044
881,17/12/2023,169069,118049
882,18/12/2023,169230,118008
883,19/12/2023,167501,117973
884,20/12/2023,167491,117925
885,21/12/2023,167178,117882
886,22/12/2023,167176,117853
887,23/12/2023,167150,117827
888,24/12/2023,167227,117826
889,25/12/2023,167304,117819
890,26/12/2023,167404,117812
891,27/12/2023,167346,117809
892,28/12/2023,167314,117811
893,29/12/2023,167180,117813
894,30/12/2023,167177,117813
895,31/12/2023,167260,117816
