date,unique page views,ga:users,pageviews per subscriber,average
2021-01-17,466,305,1.5278688524590165,2.860136260727763
2021-01-18,427,266,1.605263157894737,2.6217607823435096
2021-01-19,32502,13189,2.4643263325498523,2.492231386917768
2021-01-20,64867,17165,3.779027090008739,2.499112387197735
2021-01-21,81821,19292,4.241188057225793,2.5440848229550546
2021-01-22,54950,15950,3.445141065830721,2.702250818919921
2021-01-23,53053,15778,3.362466725820763,2.917897325969946
2021-01-24,43780,13934,3.141954930386106,3.1484810513881016
2021-01-25,57618,16782,3.4333214158026455,3.409632231089231
2021-01-26,68513,17417,3.9336854797037377,3.619540680682644
2021-01-27,65961,17769,3.712139118689853,3.609985256208517
2021-01-28,88054,20448,4.306240219092332,3.6192784221894505
2021-01-29,85098,19185,4.435652853792025,3.7607801061839234
2021-01-30,72365,17564,4.120075153723525,3.8690098815986036
2021-01-31,48522,15119,3.209339242013361,3.8786362118310684
2021-02-01,76276,18189,4.193523558194513,3.9872365178870495
2021-02-02,69352,18124,3.8265283601853897,3.9719283579558566
2021-02-03,67246,17560,3.829498861047836,3.988694035435569
2021-02-04,84776,20868,4.062488019934828,3.953872292698782
2021-02-05,69945,18014,3.8828133673809258,3.8748952232114826
2021-02-06,61843,16549,3.7369629584869175,3.820164909606253
2021-02-07,42824,14838,2.886103248416229,3.773988339092377
2021-02-08,61052,16962,3.5993397005070156,3.689104930851306
2021-02-09,59879,16823,3.559353266361529,3.6509370603050404
2021-02-10,63698,18203,3.4993133000054937,3.6037676944418484
2021-02-11,86519,20362,4.249042333758963,3.6304183107024395
2021-02-12,70754,18092,3.9107892991377406,3.6344148723819845
2021-02-13,56686,17228,3.2903413048525656,3.570611779005648
2021-02-14,45527,14400,3.1615972222222224,3.609968060977933
2021-02-15,75422,18908,3.9888935900148086,3.665618616621903
2021-02-16,68802,18764,3.666702195693882,3.6809541779550967
2021-02-17,67184,18646,3.6031320390432264,3.695785426389058
2021-02-18,85852,20836,4.120368592820119,3.677403463397795
2021-02-19,63616,18006,3.533044540708653,3.6234399264793535
2021-02-20,56199,16550,3.39570996978852,3.6384925928987757
2021-02-21,44919,14957,3.0032091997058235,3.6158657325392904
2021-02-22,63309,17706,3.5755676042019653,3.5568191631374555
2021-02-23,55664,18340,3.0351145038167937,3.466592350012157
2021-02-24,57870,18448,3.136925411968777,3.399991403287236
2021-02-25,75895,20343,3.7307673401169934,3.3443340814725038
2021-02-26,56909,17690,3.217015262860373,3.2991870417798923
2021-02-27,54012,16866,3.20241906794735,3.2715740558025823
2021-02-28,39681,14938,2.6563797027714555,3.2220269848119583
2021-03-01,65948,18141,3.635301251309189,3.230560362970133
2021-03-02,82033,19051,4.30596819064616,3.4121108896600427
2021-03-03,82865,20013,4.140558636886024,3.555487064648221
2021-03-04,97451,22009,4.427779544731701,3.6550602367360363
2021-03-05,66982,18100,3.7006629834254143,3.724152768245328
2021-03-06,59194,17696,3.3450497287522603,3.7445285769317436
2021-03-07,48000,15114,3.1758634378721715,3.8187405390889886
2021-03-08,91647,20136,4.551400476758046,3.949611857010254
2021-03-09,88697,21248,4.174369352409639,3.930812022976465
2021-03-10,88057,20923,4.2086220905223914,3.9405353734959463
2021-03-11,117351,24667,4.757408683666437,3.9876252504866225
2021-03-12,76623,20448,3.747212441314554,3.9942751730422144
2021-03-13,68341,19052,3.5870774721813983,4.0288505649606625
2021-03-14,62021,17260,3.5933371958285054,4.088489673240138
2021-03-15,69469,19655,3.534418722971254,3.9432065655563115
2021-03-16,73992,20615,3.5892311423720593,3.8596153926938
2021-03-17,91025,21285,4.276485788113695,3.869310206635415
2021-03-18,114302,23316,4.902298850574713,3.8900088019080257
2021-03-19,70909,18644,3.803314739326325,3.8980234159097074
2021-03-20,67444,18609,3.624267827395346,3.903336323797414
2021-03-21,51613,16617,3.106035987241981,3.833721865427911
2021-03-22,92390,22763,4.058779598471204,3.9086305619279034
2021-03-23,82920,21268,3.898815121309009,3.9528568446331818
2021-03-24,75566,20050,3.768877805486284,3.8803414185435514
2021-03-25,103824,22768,4.560084328882643,3.8314536297303983
2021-03-26,88148,21059,4.185763806448549,3.8860892107478593
2021-03-27,68602,19291,3.55616608781297,3.8763603908075197
2021-03-28,48868,16675,2.9306146926536734,3.851300205866333
2021-03-29,72487,19410,3.7345182895414735,3.8049771617335146
2021-03-30,70641,19481,3.62614855500231,3.766024795118272
2021-03-31,75042,20181,3.718448045191021,3.75882054364752
2021-04-01,76646,19686,3.893426800772122,3.663583753917446
2021-04-02,50575,15231,3.3205304970126717,3.5399789954266057
2021-04-03,58895,16409,3.5891888597720762,3.544696534277907
2021-04-04,48952,15288,3.2019884877027733,3.583464219284921
2021-04-05,57486,17836,3.2230320699708455,3.51039475934626
2021-04-06,70123,19647,3.569145416603044,3.5022514538606506
2021-04-07,78077,20921,3.7319917785956696,3.5041862729184574
2021-04-08,93021,21853,4.256669564819475,3.5560780963537937
2021-04-09,75433,19803,3.809170327728122,3.6258837864560007
2021-04-10,55578,17255,3.22097942625326,3.573282438810456
2021-04-11,58049,16648,3.4868452666987024,3.6139762643813027
2021-04-12,65723,18366,3.5785146466296416,3.6647594896182736
2021-04-13,70392,18882,3.7279949157928187,3.6874522752168133
2021-04-14,74380,19894,3.7388157233336683,3.688427124465098
2021-04-15,90721,21252,4.2688217579521925,3.6901631520554865
2021-04-16,76367,19187,3.980142805024235,3.714587791669217
2021-04-17,58802,17461,3.3676192657923374,3.7355363401747996
2021-04-18,41510,15387,2.6977318515630078,3.6228058522982716
2021-04-19,72108,19496,3.6986048420188755,3.639961594496733
2021-04-20,71054,18969,3.745795772049133,3.6425045739619213
2021-04-21,75890,19988,3.796778066840104,3.6507849087485553
2021-04-22,81263,19693,4.126491646778043,3.630452035723677
2021-04-23,66620,17584,3.7886715195632394,3.6030989949435344
2021-04-24,57445,17058,3.367628092390667,3.603100255886153
2021-04-25,46854,14913,3.1418225709112853,3.6665417872216213
2021-04-26,67505,18450,3.658807588075881,3.6608564652297653
2021-04-27,68396,18496,3.69788062283737,3.6540114439137987
2021-04-28,76524,19512,3.9218942189421893,3.671885179928382
2021-04-29,84636,20824,4.064348828275067,3.6630076344279567
2021-04-30,60869,17352,3.5078953434762563,3.6228967521298165
2021-05-01,47486,15657,3.0328926358817143,3.5750774011999664
2021-05-02,44539,14996,2.970058682315284,3.550539702829109
2021-05-03,41874,13502,3.101318323211376,3.470898379277037
2021-05-04,56421,16582,3.402544928235436,3.428707565762475
2021-05-05,72284,19160,3.772651356993737,3.4073871569126957
2021-05-06,81899,20036,4.0875923337991615,3.410707657701852
2021-05-07,74956,18203,4.117782783057738,3.497834434784921
2021-05-08,61811,18300,3.377650273224044,3.547085525833825
2021-05-09,60287,15976,3.773597896845268,3.6618768421952512
2021-05-10,79261,19670,4.029537366548043,3.794479562671918
2021-05-11,73326,19375,3.7845677419354837,3.8490542503433534
2021-05-12,66505,19098,3.4823018117080324,3.8075757438739672
2021-05-13,87032,20610,4.222804463852499,3.826891762453015
2021-05-14,64800,17569,3.6883146451135524,3.765539171318132
2021-05-15,57404,16884,3.3999052357261315,3.7687184516755727
2021-05-16,44031,15248,2.8876573976915005,3.6421555232250347
2021-05-17,62701,17627,3.557099903557043,3.5746644570834634
2021-05-18,63652,18271,3.4837720978599966,3.5316936507869654
2021-05-19,68064,18814,3.6177314765600084,3.5510407457658184
2021-05-20,87264,21216,4.113122171945701,3.5353718469219904
2021-05-21,71390,18334,3.8938584051489036,3.564735241212755
2021-05-22,56833,16397,3.46606086479234,3.5741860453650705
2021-05-23,55455,15344,3.614116266944734,3.677965883829818
2021-05-24,72495,18912,3.833280456852792,3.7174202485863534
2021-05-25,63734,18383,3.467007561333841,3.7150253147969026
2021-05-26,72702,19296,3.767723880597015,3.736452801087904
2021-05-27,89159,20645,4.318672802131267,3.7658171768286985
2021-05-28,62386,17864,3.4922749664128974,3.7084481141521266
2021-05-29,53380,15760,3.3870558375634516,3.697161681690857
2021-05-30,41265,13378,3.0845417850201824,3.621508184273064
2021-05-31,41335,12953,3.191152628734656,3.5297756373990445
2021-06-01,59046,16759,3.5232412435109492,3.537809020567203
2021-06-02,60521,17641,3.4307012074145455,3.4896629243982784
2021-06-03,77276,19094,4.047135225725358,3.450871842054577
2021-06-04,53312,16714,3.189661361732679,3.4076413271002606
