date,0,magazine,unique page views,magazinepercentofviews,magazineaverage
2021-03-21,73982,12987,86969,14.932907127827159,12.828785457886152
2021-03-22,130877,8176,139053,5.879772460860248,12.584871117385338
2021-03-23,122785,4823,127608,3.7795436022819886,12.533386325174948
2021-03-24,113839,4580,118419,3.8676225943471905,12.739848981835861
2021-03-25,101457,56462,157919,35.75377250362528,13.404941907864876
2021-03-26,111525,22257,133782,16.63676727810916,13.206640774697465
2021-03-27,93467,11059,104526,10.580142739605456,13.06150404380807
2021-03-28,68335,14603,82938,17.607128216257927,13.443535627869608
2021-03-29,104867,8612,113479,7.5890693432265,13.687720896779073
2021-03-30,105376,4120,109496,3.762694527653978,13.685313886117928
2021-03-31,109621,5437,115058,4.725442820142884,13.807859632660168
2021-04-01,85544,38282,123826,30.915962721883933,13.116743949554262
2021-04-02,72658,12587,85245,14.76567540618218,12.849445110707551
2021-04-03,83727,7891,91618,8.612936322556703,12.568415622557728
2021-04-04,71070,7571,78641,9.62729365089457,11.428439256077251
2021-04-05,83974,11108,95082,11.682547695673207,12.013221877855353
2021-04-06,104544,5435,109979,4.941852535484046,12.181673021831076
2021-04-07,113833,4024,117857,3.4143071688571744,11.994367928790258
2021-04-08,99469,41721,141190,29.549543168779657,11.799165135489648
2021-04-09,99689,16238,115927,14.007090669127987,11.69079588733905
2021-04-10,79899,9357,89256,10.483328851841893,11.957994820094076
2021-04-11,80504,9771,90275,10.823594572140681,12.128894951700662
2021-04-12,92727,10705,103432,10.349795034418749,11.938501714378598
2021-04-13,102104,5310,107414,4.9434896754613,11.938735591518206
2021-04-14,105767,5206,110973,4.691231200382075,12.121153310307479
2021-04-15,95875,40255,136130,29.57099831043855,12.124218330544462
2021-04-16,90988,22083,113071,19.53020668429571,12.913234904139852
2021-04-17,78727,10607,89334,11.87341885508317,13.111819190317176
2021-04-18,61382,9141,70523,12.961728797697205,13.417266936825254
2021-04-19,103485,5009,108494,4.616845171161539,12.598274099217079
2021-04-20,104216,4463,108679,4.106589129454632,12.478716878358982
2021-04-21,110830,2711,113541,2.387683744198131,12.149638670332704
2021-04-22,82739,42516,125255,33.9435551474991,12.77428964705564
2021-04-23,88596,13626,102222,13.329811586546928,11.888518918805815
2021-04-24,81433,5935,87368,6.793105027012178,11.162759800509958
2021-04-25,70467,5934,76401,7.766914045627675,10.42064340735717
2021-04-26,99614,5163,104777,4.927608158279011,10.46503811980252
2021-04-27,99700,4891,104591,4.676310581216357,10.546426898625626
2021-04-28,110485,4031,114516,3.5200321352474764,10.708190954489819
2021-04-29,84188,46631,130819,35.64543376726622,10.951316471599407
2021-04-30,80225,16531,96756,17.085245359460913,11.487807010587119
2021-05-01,66389,9681,76070,12.726436177205205,12.335425746328978
2021-05-02,65138,7597,72735,10.444765243692858,12.717975917481146
2021-05-03,65900,7947,73847,10.761439191842594,13.551380350847376
2021-05-04,82739,8650,91389,9.465034085064943,14.235483708540029
2021-05-05,103077,4334,107411,4.034968485536863,14.309046044295656
